DKHO,Kociemba,Shuffle Length
3.198248625,0,2
4.28311944,0,19
4.735773563,0.002008677,25
3.188872576,0,2
4.789340258,0.012016773,17
3.481174946,0,8
5.321107626,0.001000881,17
5.826511621,0.002999544,26
3.799809694,0,0
5.63854146,0.002010107,20
3.243034601,0,11
4.679493427,0.004506111,20
5.495273113,0.035597563,22
3.830493927,0,1
3.999891996,0,5
4.721156597,0.001504183,26
5.826873779,0,15
3.935467005,0,8
3.708526611,0,5
4.485649824,0.009520054,21
3.500417948,0,10
3.207394838,0,3
4.886928558,0.01101613,26
3.194818974,0,5
4.027432442,0.000999928,21
3.528377533,0,10
4.713905811,0.003007412,26
3.675124407,0.000500917,9
3.435423136,0,4
3.454575777,0,5
3.821481466,0,2
4.332188606,0.000500202,13
4.427387476,0,16
5.557968378,0.001507759,22
3.718115568,0,10
5.872961044,0.0075109,22
6.131082296,0.000998974,18
3.795526505,0,9
3.817069292,0,20
3.288291931,0,2
4.865199566,0.013525724,15
3.819670439,0,7
4.569885969,0.000999689,16
3.158702135,0,1
4.768761396,0.003003359,15
4.511497259,0.002012968,17
4.168962717,0,15
4.398391724,0.000498056,14
3.900884628,0.006509304,12
4.91442275,0.000499487,19
4.248279572,0,13
4.426525354,0,10
3.863600731,0,12
4.695593119,0,15
3.630303621,0,10
5.70845437,0.005017757,25
4.590749025,0,10
4.949046612,0,4
3.722554922,0,9
3.990414858,0,4
4.059716225,0,13
5.773186922,0.005499363,18
5.504223824,0.007027626,25
6.042856932,0.015528679,19
4.383337259,0,8
4.840444088,0.007499933,18
5.452345371,0.000501633,18
5.548736811,0.010509491,24
3.408222198,0,8
4.535637617,0.00202775,23
4.027300596,0,16
21.25977325,0.003503323,17
3.709961653,0.000500679,13
3.212731838,0,0
3.406691551,0,5
5.47581315,0.001499653,18
5.327265263,0.002502918,21
3.426265955,0,9
4.047908545,0,12
3.785856009,0,10
4.086696625,0,12
5.387266397,0.001519442,23
4.073615789,0,10
5.521207571,0.006499767,25
3.765854836,0,6
5.705812454,0.004513264,17
4.90331769,0.001000166,18
4.529484272,0,10
4.928263664,0.010514021,18
5.141393661,0,5
5.113623857,0,0
4.411102295,0,1
5.209233999,0.017030716,17
4.945842266,0,19
4.846398592,0,18
4.367921829,0.000504494,7
4.208271265,0,10
4.641716719,0.000499725,13
3.65723443,0.000501633,6
3.428075552,0,6
3.618633509,0,12
5.037915707,0.011018753,19
3.994430065,0,10
3.600781679,0,0
3.776954889,0.000497818,12
5.056919098,0.000499725,8
4.227816343,0,9
3.953203917,0,13
3.386459112,0,5
3.74292326,0,12
3.268712997,0,12
3.284631014,0,4
4.708064795,0.014047623,24
4.962862968,0.008516312,24
5.295743704,0.006511927,21
3.59530139,0,10
4.991942167,0,22
5.10263586,0.00350976,25
3.717863798,0,3
3.802806854,0,4
6.315077305,0.012073994,26
3.22668314,0,2
3.891004086,0.001000166,9
3.201688766,0,2
3.413757563,0,11
3.253935814,0,5
3.666113853,0,10
3.426264524,0,9
3.126106977,0,0
5.028944492,0.004513979,19
3.173658133,0,0
4.911445141,0.004007816,23
4.641781569,0.001999617,14
